,Text
49,"RT @karasuwich1: ผมเริ่ม active ใน twitter ส่วนหนึ่ง เพราะต้องการหาช่องทางระบายความผิดหวังที่เกิดจากผลการเลือกตั้งปี 62 ..
เพราะเกลียด #ประ…"
50,"RT @NoOdAo29: อย่าให้รู้นะว่าด่าทักษิณ
แต่ไปหาหมอแล้วใช้สิทธิ์บัตรทอง 30 บาทนะ

เอ้ออออออ เอาสิเมิงเอาสิ5555555555555+

#บัตรทอง 
#ชิมช้อปใ…"
51,"RT @chanisaphat: 30 บาทรักษาทุกโรค
หมอสงวนคิด
นายกทักษิณทำ 

อีลุงข้างบ้านเคลม 😡

 #PrayutGetOut https://t.co/cHeYoDBYhh"
52,"RT @tanawatofficial: ทักษิณ พูดเรื่อง blockchain
ธนาธร พูดเรื่อง hyperloop
คุณหญิงสุดารัตน์ พูดเรื่อง startup
ชัชชาติ พูดเรื่อง AI

ประยุท…"
53,RT @Smoysjoob: ทำเป็นมาบอกว่าอย่าให้รู้นะว่าด่ารัฐบาลแต่ลงทะเบียนรับเงิน1000 งั้นก็อย่าให้รู้นะว่าด่าทักษิณ เเต่ใช้บัตร30 #ชิมช้อปใช้ #ชิม…
54,RT @MorningNewsTV3: สาวช้ำ ถูกชายอ้างเป็นเสี่ยหมื่นล้าน คนสนิททักษิณ หลอกแต่งงานทิ้งหนี้ 3.5 ล้าน โดนแฉที่แท้แค่ขายเห็ด #เรื่องเล่าเช้านี้…
55,"RT @shutup2557: สิ่งที่สลิ่มไม่เคยพูดถึงในรัฐบาลประยุทธ์
-รถไฟไทยจีน
-ค่าโง่เหมืองทอง
-สั่งซื้ออาวุธ
-ดูดตัว ส.ส.
-ให้ต่างชาติมาเช่าที่99ปี…"
56,"RT @tanawatofficial: “ผมชี้แจงไปว่าเราทำอะไรไปบ้าง เขาก็ทึ่ง แล้วปรบมือให้ผม”

เคลมผลงานคนอื่นเก่งมากครับ สมแล้วที่มีคนบอกว่านโยยาย 30 บาท…"
57,"RT @Nonmedia2005: ""สลิ่ม"" คือความพินาศของพุทธิปัญญาของคนในประเทศไทย 
กรณีประยุทธ์โจมตีโครงการ 30 บาทแบบสลิ่มทีรังเกียจโครงการของนายกฯทักษิณ…"
58,"RT @mosi_c: ""วงจรความยากจน""

16ปีแห่งความหลัง “ #ทักษิณ ”โชว์ วิสัยทัศน์ผู้นำ

#ประยุทธ์ออกไป 
https://t.co/4VKeIgpKJ8 https://t.co/tp2Spx6…"
59,"RT @tanawatofficial: ทักษิณ พูดเรื่อง blockchain
ธนาธร พูดเรื่อง hyperloop
คุณหญิงสุดารัตน์ พูดเรื่อง startup
ชัชชาติ พูดเรื่อง AI

ประยุท…"
60,"RT @tanawatofficial: ทักษิณ พูดเรื่อง blockchain
ธนาธร พูดเรื่อง hyperloop
คุณหญิงสุดารัตน์ พูดเรื่อง startup
ชัชชาติ พูดเรื่อง AI

ประยุท…"
