,Text
49,"RT @seawonn: #ธนาธร กำลังไลฟ์อยู่จ้า ไลฟ์จริงไม่อัดเทปจกตา
#พรรคอนาคตใหม่
#นายกกูเกิ้ล 
#PrayuthGetOut 
#PrayutGetOut https://t.co/tVOCMrLi…"
50,"RT @Avina74257870: มองแบบกลางๆ นี่ว่าคุณธนาธรตอนเด็กน่าจะกวนตีนอะ
นายกระกาศว่าจะไลฟ์(เทป)ปุ๊ป สักพักก็ประกาศไลฟ์เหมือนกันจ้า 
ใจเอ็งมันได้…"
51,"RT @seawonn: #ธนาธร กำลังไลฟ์อยู่จ้า ไลฟ์จริงไม่อัดเทปจกตา
#พรรคอนาคตใหม่
#นายกกูเกิ้ล 
#PrayuthGetOut 
#PrayutGetOut https://t.co/tVOCMrLi…"
52,"RT @seawonn: #ธนาธร กำลังไลฟ์อยู่จ้า ไลฟ์จริงไม่อัดเทปจกตา
#พรรคอนาคตใหม่
#นายกกูเกิ้ล 
#PrayuthGetOut 
#PrayutGetOut https://t.co/tVOCMrLi…"
53,"RT @seawonn: #ธนาธร กำลังไลฟ์อยู่จ้า ไลฟ์จริงไม่อัดเทปจกตา
#พรรคอนาคตใหม่
#นายกกูเกิ้ล 
#PrayuthGetOut 
#PrayutGetOut https://t.co/tVOCMrLi…"
54,"RT @seawonn: #ธนาธร กำลังไลฟ์อยู่จ้า ไลฟ์จริงไม่อัดเทปจกตา
#พรรคอนาคตใหม่
#นายกกูเกิ้ล 
#PrayuthGetOut 
#PrayutGetOut https://t.co/tVOCMrLi…"
55,"RT @seawonn: #ธนาธร กำลังไลฟ์อยู่จ้า ไลฟ์จริงไม่อัดเทปจกตา
#พรรคอนาคตใหม่
#นายกกูเกิ้ล 
#PrayuthGetOut 
#PrayutGetOut https://t.co/tVOCMrLi…"
56,"RT @seawonn: #ธนาธร กำลังไลฟ์อยู่จ้า ไลฟ์จริงไม่อัดเทปจกตา
#พรรคอนาคตใหม่
#นายกกูเกิ้ล 
#PrayuthGetOut 
#PrayutGetOut https://t.co/tVOCMrLi…"
57,"RT @Avina74257870: มองแบบกลางๆ นี่ว่าคุณธนาธรตอนเด็กน่าจะกวนตีนอะ
นายกระกาศว่าจะไลฟ์(เทป)ปุ๊ป สักพักก็ประกาศไลฟ์เหมือนกันจ้า 
ใจเอ็งมันได้…"
58,RT @IM_MadamE: จะรอติดตาม #ธนาธรไลฟ์ ศุกร์หน้าอีกนะคะ ชอบค่ะ แรก ๆ เป็นคุณเอกก่อน ค่อย ๆ แท็กทีม จะได้รับฟังเพื่อแก้ไขปัญหาชาวบ้าน รวมถึงแส…
